1739811899.449825 server started (13567): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1739811899.449897 on Darwin 24.2.0 Darwin Kernel Version 24.2.0: Fri Dec  6 18:51:28 PST 2024; root:xnu-11215.61.5~2/RELEASE_ARM64_T8112
1739811899.449906 using libevent 2.1.12-stable select
1739811899.449917 using utf8proc 2.10.0
1739811899.449924 using ncurses 6.5 20240427
1739811899.466951 cmd_parse_build_commands 0:6: <
1739811899.466954 cmd_parse_build_commands 0:7 0:0: send
1739811899.466957 cmd_parse_build_commands 0:7 0:1: -X
1739811899.466960 cmd_parse_build_commands 0:7 0:2: history-top
1739811899.466964 cmd_parse_build_commands 0:8: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1739811899.466967 cmd_parse_build_commands 0:9: >
1739811899.466970 cmd_parse_build_commands 0:10 0:0: send
1739811899.466973 cmd_parse_build_commands 0:10 0:1: -X
1739811899.466977 cmd_parse_build_commands 0:10 0:2: history-bottom
1739811899.466980 cmd_parse_build_commands 0:11: 
1739811899.466983 cmd_parse_build_commands 0:12: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1739811899.466986 cmd_parse_build_commands 0:13: C-r
1739811899.466990 cmd_parse_build_commands 0:14 0:0: if
1739811899.466993 cmd_parse_build_commands 0:14 0:1: -F
1739811899.466996 cmd_parse_build_commands 0:14 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1739811899.466999 cmd_parse_build_commands 0:14 0:3: copy-mode -t=
1739811899.467002 cmd_parse_build_commands 0:14 1:0: send
1739811899.467006 cmd_parse_build_commands 0:14 1:1: -Xt=
1739811899.467009 cmd_parse_build_commands 0:14 1:2: search-backward
1739811899.467012 cmd_parse_build_commands 0:14 1:3: #{q:mouse_word}
1739811899.467015 cmd_parse_build_commands 0:15: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1739811899.467018 cmd_parse_build_commands 0:16: C-y
1739811899.467022 cmd_parse_build_commands 0:17 0:0: copy-mode
1739811899.467025 cmd_parse_build_commands 0:17 0:1: -q
1739811899.467028 cmd_parse_build_commands 0:17 1:0: send-keys
1739811899.467031 cmd_parse_build_commands 0:17 1:1: -l
1739811899.467034 cmd_parse_build_commands 0:17 1:2: --
1739811899.467037 cmd_parse_build_commands 0:17 1:3: #{q:mouse_word}
1739811899.467041 cmd_parse_build_commands 0:18: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1739811899.467044 cmd_parse_build_commands 0:19: c
1739811899.467047 cmd_parse_build_commands 0:20 0:0: copy-mode
1739811899.467050 cmd_parse_build_commands 0:20 0:1: -q
1739811899.467053 cmd_parse_build_commands 0:20 1:0: set-buffer
1739811899.467056 cmd_parse_build_commands 0:20 1:1: --
1739811899.467059 cmd_parse_build_commands 0:20 1:2: #{q:mouse_word}
1739811899.467063 cmd_parse_build_commands 0:21: #{?mouse_line,Copy Line,}
1739811899.467066 cmd_parse_build_commands 0:22: l
1739811899.467069 cmd_parse_build_commands 0:23 0:0: copy-mode
1739811899.467072 cmd_parse_build_commands 0:23 0:1: -q
1739811899.467075 cmd_parse_build_commands 0:23 1:0: set-buffer
1739811899.467078 cmd_parse_build_commands 0:23 1:1: --
1739811899.467081 cmd_parse_build_commands 0:23 1:2: #{q:mouse_line}
1739811899.467084 cmd_parse_build_commands 0:24: 
1739811899.467088 cmd_parse_build_commands 0:25: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1739811899.467091 cmd_parse_build_commands 0:26: C-h
1739811899.467094 cmd_parse_build_commands 0:27 0:0: copy-mode
1739811899.467097 cmd_parse_build_commands 0:27 0:1: -q
1739811899.467100 cmd_parse_build_commands 0:27 1:0: send-keys
1739811899.467103 cmd_parse_build_commands 0:27 1:1: -l
1739811899.467106 cmd_parse_build_commands 0:27 1:2: --
1739811899.467110 cmd_parse_build_commands 0:27 1:3: #{q:mouse_hyperlink}
1739811899.467113 cmd_parse_build_commands 0:28: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1739811899.467121 cmd_parse_build_commands 0:29: h
1739811899.467124 cmd_parse_build_commands 0:30 0:0: copy-mode
1739811899.467127 cmd_parse_build_commands 0:30 0:1: -q
1739811899.467130 cmd_parse_build_commands 0:30 1:0: set-buffer
1739811899.467133 cmd_parse_build_commands 0:30 1:1: --
1739811899.467136 cmd_parse_build_commands 0:30 1:2: #{q:mouse_hyperlink}
1739811899.467139 cmd_parse_build_commands 0:31: 
1739811899.467142 cmd_parse_build_commands 0:32: Horizontal Split
1739811899.467146 cmd_parse_build_commands 0:33: h
1739811899.467149 cmd_parse_build_commands 0:34 0:0: split-window
1739811899.467152 cmd_parse_build_commands 0:34 0:1: -h
1739811899.467155 cmd_parse_build_commands 0:35: Vertical Split
1739811899.467158 cmd_parse_build_commands 0:36: v
1739811899.467161 cmd_parse_build_commands 0:37 0:0: split-window
1739811899.467164 cmd_parse_build_commands 0:37 0:1: -v
1739811899.467167 cmd_parse_build_commands 0:38: 
1739811899.467171 cmd_parse_build_commands 0:39: #{?#{>:#{window_panes},1},,-}Swap Up
1739811899.467174 cmd_parse_build_commands 0:40: u
1739811899.467177 cmd_parse_build_commands 0:41 0:0: swap-pane
1739811899.467180 cmd_parse_build_commands 0:41 0:1: -U
1739811899.467183 cmd_parse_build_commands 0:42: #{?#{>:#{window_panes},1},,-}Swap Down
1739811899.467186 cmd_parse_build_commands 0:43: d
1739811899.467190 cmd_parse_build_commands 0:44 0:0: swap-pane
1739811899.467193 cmd_parse_build_commands 0:44 0:1: -D
1739811899.467196 cmd_parse_build_commands 0:45: #{?pane_marked_set,,-}Swap Marked
1739811899.467199 cmd_parse_build_commands 0:46: s
1739811899.467202 cmd_parse_build_commands 0:47 0:0: swap-pane
1739811899.467205 cmd_parse_build_commands 0:48: 
1739811899.467208 cmd_parse_build_commands 0:49: Kill
1739811899.467211 cmd_parse_build_commands 0:50: X
1739811899.467215 cmd_parse_build_commands 0:51 0:0: kill-pane
1739811899.467218 cmd_parse_build_commands 0:52: Respawn
1739811899.467221 cmd_parse_build_commands 0:53: R
1739811899.467224 cmd_parse_build_commands 0:54 0:0: respawn-pane
1739811899.467227 cmd_parse_build_commands 0:54 0:1: -k
1739811899.467230 cmd_parse_build_commands 0:55: #{?pane_marked,Unmark,Mark}
1739811899.467233 cmd_parse_build_commands 0:56: m
1739811899.467237 cmd_parse_build_commands 0:57 0:0: select-pane
1739811899.467240 cmd_parse_build_commands 0:57 0:1: -m
1739811899.467243 cmd_parse_build_commands 0:58: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1739811899.467246 cmd_parse_build_commands 0:59: z
1739811899.467249 cmd_parse_build_commands 0:60 0:0: resize-pane
1739811899.467252 cmd_parse_build_commands 0:60 0:1: -Z
1739811899.467257 cmd_parse_build_commands 0:0: send
1739811899.467261 cmd_parse_build_commands 0:1: -X
1739811899.467264 cmd_parse_build_commands 0:2: history-top
1739811899.467268 args_parse_flags: next -X
1739811899.467272 args_parse_flags: -X
1739811899.467275 args_parse_flags: next history-top
1739811899.467278 args_parse: flags end at 2 of 3
1739811899.467281 args_parse: 2 = history-top (type STRING)
1739811899.467287 cmd_parse_build_commands: send-keys -X history-top
1739811899.467292 cmd_parse_build_commands 0:0: send
1739811899.467295 cmd_parse_build_commands 0:1: -X
1739811899.467298 cmd_parse_build_commands 0:2: history-bottom
1739811899.467302 args_parse_flags: next -X
1739811899.467305 args_parse_flags: -X
1739811899.467309 args_parse_flags: next history-bottom
1739811899.467312 args_parse: flags end at 2 of 3
1739811899.467315 args_parse: 2 = history-bottom (type STRING)
1739811899.467321 cmd_parse_build_commands: send-keys -X history-bottom
1739811899.467325 cmd_parse_build_commands 0:0: if
1739811899.467328 cmd_parse_build_commands 0:1: -F
1739811899.467332 cmd_parse_build_commands 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1739811899.467335 cmd_parse_build_commands 0:3: copy-mode -t=
1739811899.467338 cmd_parse_build_commands 1:0: send
1739811899.467341 cmd_parse_build_commands 1:1: -Xt=
1739811899.467345 cmd_parse_build_commands 1:2: search-backward
1739811899.467348 cmd_parse_build_commands 1:3: #{q:mouse_word}
1739811899.467358 args_parse_flags: next -F
1739811899.467361 args_parse_flags: -F
1739811899.467365 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1739811899.467368 args_parse: flags end at 2 of 4
1739811899.467371 args_parse: 2 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1} (type STRING)
1739811899.467375 args_parse: 3 = copy-mode -t= (type STRING)
1739811899.467381 args_parse_flags: next -Xt=
1739811899.467384 args_parse_flags: -X
1739811899.467387 args_parse_flag_argument: -t = =
1739811899.467390 args_parse_flags: next search-backward
1739811899.467394 args_parse: flags end at 2 of 4
1739811899.467397 args_parse: 2 = search-backward (type STRING)
1739811899.467400 args_parse: 3 = #{q:mouse_word} (type STRING)
1739811899.467414 cmd_parse_build_commands: if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}"
1739811899.467419 cmd_parse_build_commands 0:0: copy-mode
1739811899.467422 cmd_parse_build_commands 0:1: -q
1739811899.467426 cmd_parse_build_commands 1:0: send-keys
1739811899.467429 cmd_parse_build_commands 1:1: -l
1739811899.467432 cmd_parse_build_commands 1:2: --
1739811899.467435 cmd_parse_build_commands 1:3: #{q:mouse_word}
1739811899.467439 args_parse_flags: next -q
1739811899.467442 args_parse_flags: -q
1739811899.467445 args_parse: flags end at 2 of 2
1739811899.467450 args_parse_flags: next -l
1739811899.467453 args_parse_flags: -l
1739811899.467456 args_parse_flags: next --
1739811899.467459 args_parse: flags end at 3 of 4
1739811899.467463 args_parse: 3 = #{q:mouse_word} (type STRING)
1739811899.467470 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_word}"
1739811899.467474 cmd_parse_build_commands 0:0: copy-mode
1739811899.467477 cmd_parse_build_commands 0:1: -q
1739811899.467480 cmd_parse_build_commands 1:0: set-buffer
1739811899.467483 cmd_parse_build_commands 1:1: --
1739811899.467487 cmd_parse_build_commands 1:2: #{q:mouse_word}
1739811899.467491 args_parse_flags: next -q
1739811899.467494 args_parse_flags: -q
1739811899.467497 args_parse: flags end at 2 of 2
1739811899.467502 args_parse_flags: next --
1739811899.467505 args_parse: flags end at 2 of 3
1739811899.467508 args_parse: 2 = #{q:mouse_word} (type STRING)
1739811899.467515 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_word}"
1739811899.467519 cmd_parse_build_commands 0:0: copy-mode
1739811899.467522 cmd_parse_build_commands 0:1: -q
1739811899.467525 cmd_parse_build_commands 1:0: set-buffer
1739811899.467528 cmd_parse_build_commands 1:1: --
1739811899.467531 cmd_parse_build_commands 1:2: #{q:mouse_line}
1739811899.467535 args_parse_flags: next -q
1739811899.467538 args_parse_flags: -q
1739811899.467541 args_parse: flags end at 2 of 2
1739811899.467546 args_parse_flags: next --
1739811899.467549 args_parse: flags end at 2 of 3
1739811899.467552 args_parse: 2 = #{q:mouse_line} (type STRING)
1739811899.467559 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_line}"
1739811899.467565 cmd_parse_build_commands 0:0: copy-mode
1739811899.467568 cmd_parse_build_commands 0:1: -q
1739811899.467572 cmd_parse_build_commands 1:0: send-keys
1739811899.467575 cmd_parse_build_commands 1:1: -l
1739811899.467578 cmd_parse_build_commands 1:2: --
1739811899.467581 cmd_parse_build_commands 1:3: #{q:mouse_hyperlink}
1739811899.467585 args_parse_flags: next -q
1739811899.467588 args_parse_flags: -q
1739811899.467591 args_parse: flags end at 2 of 2
1739811899.467596 args_parse_flags: next -l
1739811899.467599 args_parse_flags: -l
1739811899.467602 args_parse_flags: next --
1739811899.467605 args_parse: flags end at 3 of 4
1739811899.467609 args_parse: 3 = #{q:mouse_hyperlink} (type STRING)
1739811899.467616 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}"
1739811899.467620 cmd_parse_build_commands 0:0: copy-mode
1739811899.467623 cmd_parse_build_commands 0:1: -q
1739811899.467626 cmd_parse_build_commands 1:0: set-buffer
1739811899.467629 cmd_parse_build_commands 1:1: --
1739811899.467632 cmd_parse_build_commands 1:2: #{q:mouse_hyperlink}
1739811899.467641 args_parse_flags: next -q
1739811899.467644 args_parse_flags: -q
1739811899.467647 args_parse: flags end at 2 of 2
1739811899.467652 args_parse_flags: next --
1739811899.467655 args_parse: flags end at 2 of 3
1739811899.467658 args_parse: 2 = #{q:mouse_hyperlink} (type STRING)
1739811899.467665 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_hyperlink}"
1739811899.467669 cmd_parse_build_commands 0:0: split-window
1739811899.467672 cmd_parse_build_commands 0:1: -h
1739811899.467676 args_parse_flags: next -h
1739811899.467679 args_parse_flags: -h
1739811899.467682 args_parse: flags end at 2 of 2
1739811899.467687 cmd_parse_build_commands: split-window -h
1739811899.467691 cmd_parse_build_commands 0:0: split-window
1739811899.467694 cmd_parse_build_commands 0:1: -v
1739811899.467698 args_parse_flags: next -v
1739811899.467701 args_parse_flags: -v
1739811899.467704 args_parse: flags end at 2 of 2
1739811899.467709 cmd_parse_build_commands: split-window -v
1739811899.467713 cmd_parse_build_commands 0:0: swap-pane
1739811899.467716 cmd_parse_build_commands 0:1: -U
1739811899.467721 args_parse_flags: next -U
1739811899.467724 args_parse_flags: -U
1739811899.467727 args_parse: flags end at 2 of 2
1739811899.467731 cmd_parse_build_commands: swap-pane -U
1739811899.467735 cmd_parse_build_commands 0:0: swap-pane
1739811899.467738 cmd_parse_build_commands 0:1: -D
1739811899.467743 args_parse_flags: next -D
1739811899.467746 args_parse_flags: -D
1739811899.467749 args_parse: flags end at 2 of 2
1739811899.467753 cmd_parse_build_commands: swap-pane -D
1739811899.467757 cmd_parse_build_commands 0:0: swap-pane
1739811899.467761 args_parse: flags end at 1 of 1
1739811899.467766 cmd_parse_build_commands: swap-pane
1739811899.467770 cmd_parse_build_commands 0:0: kill-pane
1739811899.467773 args_parse: flags end at 1 of 1
1739811899.467777 cmd_parse_build_commands: kill-pane
1739811899.467781 cmd_parse_build_commands 0:0: respawn-pane
1739811899.467784 cmd_parse_build_commands 0:1: -k
1739811899.467789 args_parse_flags: next -k
1739811899.467792 args_parse_flags: -k
1739811899.467795 args_parse: flags end at 2 of 2
1739811899.467799 cmd_parse_build_commands: respawn-pane -k
1739811899.467803 cmd_parse_build_commands 0:0: select-pane
1739811899.467806 cmd_parse_build_commands 0:1: -m
1739811899.467810 args_parse_flags: next -m
1739811899.467813 args_parse_flags: -m
1739811899.467816 args_parse: flags end at 2 of 2
1739811899.467820 cmd_parse_build_commands: select-pane -m
1739811899.467824 cmd_parse_build_commands 0:0: resize-pane
1739811899.467827 cmd_parse_build_commands 0:1: -Z
1739811899.467831 args_parse_flags: next -Z
1739811899.467834 args_parse_flags: -Z
1739811899.467838 args_parse: flags end at 2 of 2
1739811899.467842 cmd_parse_build_commands: resize-pane -Z
1739811899.467845 args_parse_flags: next -xP
1739811899.467849 args_parse_flag_argument: -x = P
1739811899.467852 args_parse_flags: next -yP
1739811899.467855 args_parse_flag_argument: -y = P
1739811899.467858 args_parse_flags: next -T
1739811899.467862 args_parse_flag_argument: -T = #[align=centre]#{pane_index} (#{pane_id})
1739811899.467866 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1739811899.467869 args_parse: flags end at 5 of 61
1739811899.467873 args_parse: 5 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,} (type STRING)
1739811899.467876 args_parse: 6 = < (type STRING)
1739811899.467882 args_parse: 7 = send-keys -X history-top (type COMMANDS)
1739811899.467886 args_parse: 8 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,} (type STRING)
1739811899.467890 args_parse: 9 = > (type STRING)
1739811899.467895 args_parse: 10 = send-keys -X history-bottom (type COMMANDS)
1739811899.467898 args_parse: 11 =  (type STRING)
1739811899.467901 args_parse: 12 = #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},} (type STRING)
1739811899.467905 args_parse: 13 = C-r (type STRING)
1739811899.467916 args_parse: 14 = if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" (type COMMANDS)
1739811899.467924 args_parse: 15 = #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},} (type STRING)
1739811899.467927 args_parse: 16 = C-y (type STRING)
1739811899.467933 args_parse: 17 = copy-mode -q ; send-keys -l "#{q:mouse_word}" (type COMMANDS)
1739811899.467936 args_parse: 18 = #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},} (type STRING)
1739811899.467940 args_parse: 19 = c (type STRING)
1739811899.467945 args_parse: 20 = copy-mode -q ; set-buffer "#{q:mouse_word}" (type COMMANDS)
1739811899.467948 args_parse: 21 = #{?mouse_line,Copy Line,} (type STRING)
1739811899.467951 args_parse: 22 = l (type STRING)
1739811899.467957 args_parse: 23 = copy-mode -q ; set-buffer "#{q:mouse_line}" (type COMMANDS)
1739811899.467960 args_parse: 24 =  (type STRING)
1739811899.467963 args_parse: 25 = #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1739811899.467967 args_parse: 26 = C-h (type STRING)
1739811899.467972 args_parse: 27 = copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" (type COMMANDS)
1739811899.467976 args_parse: 28 = #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},} (type STRING)
1739811899.467979 args_parse: 29 = h (type STRING)
1739811899.467984 args_parse: 30 = copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" (type COMMANDS)
1739811899.467987 args_parse: 31 =  (type STRING)
1739811899.467990 args_parse: 32 = Horizontal Split (type STRING)
1739811899.467993 args_parse: 33 = h (type STRING)
1739811899.467997 args_parse: 34 = split-window -h (type COMMANDS)
1739811899.468000 args_parse: 35 = Vertical Split (type STRING)
1739811899.468003 args_parse: 36 = v (type STRING)
1739811899.468007 args_parse: 37 = split-window -v (type COMMANDS)
1739811899.468010 args_parse: 38 =  (type STRING)
1739811899.468014 args_parse: 39 = #{?#{>:#{window_panes},1},,-}Swap Up (type STRING)
1739811899.468017 args_parse: 40 = u (type STRING)
1739811899.468020 args_parse: 41 = swap-pane -U (type COMMANDS)
1739811899.468024 args_parse: 42 = #{?#{>:#{window_panes},1},,-}Swap Down (type STRING)
1739811899.468027 args_parse: 43 = d (type STRING)
1739811899.468031 args_parse: 44 = swap-pane -D (type COMMANDS)
1739811899.468034 args_parse: 45 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1739811899.468037 args_parse: 46 = s (type STRING)
1739811899.468040 args_parse: 47 = swap-pane (type COMMANDS)
1739811899.468043 args_parse: 48 =  (type STRING)
1739811899.468046 args_parse: 49 = Kill (type STRING)
1739811899.468049 args_parse: 50 = X (type STRING)
1739811899.468053 args_parse: 51 = kill-pane (type COMMANDS)
1739811899.468056 args_parse: 52 = Respawn (type STRING)
1739811899.468059 args_parse: 53 = R (type STRING)
1739811899.468063 args_parse: 54 = respawn-pane -k (type COMMANDS)
1739811899.468066 args_parse: 55 = #{?pane_marked,Unmark,Mark} (type STRING)
1739811899.468069 args_parse: 56 = m (type STRING)
1739811899.468073 args_parse: 57 = select-pane -m (type COMMANDS)
1739811899.468076 args_parse: 58 = #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom} (type STRING)
1739811899.468079 args_parse: 59 = z (type STRING)
1739811899.468083 args_parse: 60 = resize-pane -Z (type COMMANDS)
1739811899.468174 cmd_parse_build_commands: display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -x P -y P "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z }
1739811899.468182 args_parse_flags: next >
1739811899.468185 args_parse: flags end at 1 of 3
1739811899.468188 args_parse: 1 = > (type STRING)
1739811899.468267 args_parse: 2 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -x P -y P "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1739811899.468348 cmd_parse_build_commands: bind-key > { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -x P -y P "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1739811899.468370 cmdq_get_command: [bind-key/0x144020360] group 754
1739811899.468373 cmdq_append <global>: [bind-key/0x144020360]
1739811899.468376 yylex_token: end at WS
1739811899.468379 yylex_token: bind
1739811899.468382 yylex_token: end at WS
1739811899.468390 yylex_token: -n
1739811899.468394 yylex_token: end at WS
1739811899.468396 yylex_token: MouseDown1Pane
1739811899.468400 yylex_token: end at WS
1739811899.468402 yylex_token: select-pane
1739811899.468405 yylex_token: end at ;
1739811899.468408 yylex_token: -t=
1739811899.468411 yylex_token: end at WS
1739811899.468414 yylex_token: send
1739811899.468416 yylex_token: end at WS
1739811899.468419 yylex_token: -M
1739811899.468423 cmd_parse_build_commands 0:0: bind
1739811899.468425 cmd_parse_build_commands 0:1: -n
1739811899.468428 cmd_parse_build_commands 0:2: MouseDown1Pane
1739811899.468432 cmd_parse_build_commands 0:3 0:0: select-pane
1739811899.468435 cmd_parse_build_commands 0:3 0:1: -t=
1739811899.468437 cmd_parse_build_commands 0:3 1:0: send
1739811899.468440 cmd_parse_build_commands 0:3 1:1: -M
1739811899.468444 cmd_parse_build_commands 0:0: select-pane
1739811899.468447 cmd_parse_build_commands 0:1: -t=
1739811899.468450 cmd_parse_build_commands 1:0: send
1739811899.468453 cmd_parse_build_commands 1:1: -M
1739811899.468457 args_parse_flags: next -t=
1739811899.468460 args_parse_flag_argument: -t = =
1739811899.468463 args_parse: flags end at 2 of 2
1739811899.468467 args_parse_flags: next -M
1739811899.468470 args_parse_flags: -M
1739811899.468472 args_parse: flags end at 2 of 2
1739811899.468478 cmd_parse_build_commands: select-pane -t = ; send-keys -M
1739811899.468481 args_parse_flags: next -n
1739811899.468484 args_parse_flags: -n
1739811899.468486 args_parse_flags: next MouseDown1Pane
1739811899.468489 args_parse: flags end at 2 of 4
1739811899.468492 args_parse: 2 = MouseDown1Pane (type STRING)
1739811899.468497 args_parse: 3 = select-pane -t = ; send-keys -M (type COMMANDS)
1739811899.468505 cmd_parse_build_commands: bind-key -n MouseDown1Pane { select-pane -t = ; send-keys -M }
1739811899.468510 cmdq_get_command: [bind-key/0x144021a10] group 836
1739811899.468513 cmdq_append <global>: [bind-key/0x144021a10]
1739811899.468516 yylex_token: end at WS
1739811899.468519 yylex_token: bind
1739811899.468522 yylex_token: end at WS
1739811899.468525 yylex_token: -n
1739811899.468528 yylex_token: end at WS
1739811899.468531 yylex_token: MouseDrag1Pane
1739811899.468534 yylex_token: end at WS
1739811899.468536 yylex_token: if
1739811899.468539 yylex_token: end at WS
